position,speed
200,0,0
190.9,-9.1,1
174.823,-16.0767,2
155.521,-19.3021,3
137.497,-18.0237,4
124.958,-12.5398,5
120.828,-4.12994,6
126.071,5.24359,7
139.465,13.3936,8
157.883,18.4185,9
177.029,19.1457,10
192.435,15.4055,11
200.505,8.0708,12
199.358,-1.14713,13
189.261,-10.0974,14
172.569,-16.6916,15
153.178,-19.3911,16
135.612,-17.566,17
123.97,-11.6422,18
120.968,-3.00185,19
127.307,6.33892,20
141.508,14.2006,21
160.256,18.7488,22
179.179,18.9223,23
193.859,14.6806,24
200.873,7.01341,25
198.583,-2.29024,26
187.523,-11.0595,27
170.275,-17.2482,28
150.862,-19.4123,29
133.816,-17.0469,30
123.112,-10.7039,31
121.248,-1.86328,32
128.661,7.41209,33
143.618,14.958,34
162.632,19.0137,35
181.265,18.6328,36
195.169,13.9043,37
201.101,5.9315,38
197.675,-3.42536,39
185.692,-11.983,40
167.948,-17.7445,41
148.582,-19.3657,42
132.114,-16.4682,43
122.386,-9.72817,44
121.668,-0.718191,45
130.127,8.45937,46
145.79,15.6631,47
165.002,19.2121,48
183.28,18.2782,49
196.36,13.0795,50
201.189,4.82886,51
196.64,-4.5485,52
183.776,-12.8645,53
165.597,-18.1789,54
146.345,-19.2515,55
130.513,-15.832,56
121.795,-8.71847,57
122.224,0.429406,58
131.701,9.47708,59
148.015,16.3134,60
167.358,19.3433,61
185.218,17.8598,62
197.427,12.2089,63
201.136,3.70935,64
195.48,-5.65575,65
181.779,-13.7012,66
163.23,-18.5497,67
144.16,-19.0699,68
129.019,-15.1405,69
121.341,-7.67829,70
122.916,1.5755,71
133.378,10.4617,72
150.285,16.9068,73
169.692,19.407,74
187.071,17.3789,75
198.366,11.2957,76
200.943,2.57688,77
194.2,-6.74324,78
179.71,-14.4899,79
160.855,-18.8556,80
142.033,-18.8217,81
127.637,-14.396,82
121.026,-6.61128,83
123.742,2.71609,84
135.151,11.4097,85
152.592,17.4411,86
171.995,19.4028,87
188.833,16.8373,88
199.176,10.343,89
200.611,1.4354,90
192.804,-7.80716,91
177.576,-15.228,92
158.48,-19.0957,93
139.972,-18.5077,94
126.371,-13.6013,95
120.85,-5.52117,96
124.697,3.84719,97
137.015,12.3179,98
154.929,17.9144,99
174.26,19.3309,100
190.497,16.2368,101
199.851,9.35419,102
200.14,0.288903,103
191.296,-8.84379,104
175.383,-15.9129,105
156.114,-19.2691,106
137.985,-18.1291,107
125.226,-12.759,108
120.815,-4.41177,109
125.779,4.96484,110
138.962,13.183,111
157.287,18.3251,112
176.479,19.1914,113
192.058,15.5796,114
200.391,8.33266,115
199.533,-0.858601,116
189.683,-9.84953,117
173.141,-16.5422,118
153.766,-19.3751,119
136.079,-17.6871,120
124.207,-11.8721,121
120.92,-3.28695,122
126.985,6.06515,123
140.987,14.002,124
159.659,18.6718,125
178.643,18.9848,126
193.511,14.868,127
200.793,7.28202,128
198.79,-2.0031,129
187.969,-10.8208,130
170.856,-17.1137,131
151.442,-19.4134,132
134.259,-17.1833,133
123.315,-10.9437,134
121.165,-2.15064,135
128.309,7.14426,136
143.081,14.7722,137
162.034,18.9532,138
180.746,18.7119,139
194.851,14.1044,140
201.057,6.20593,141
197.916,-3.14061,142
186.162,-11.7543,143
168.536,-17.6254,144
149.152,-19.3838,145
132.533,-16.6194,146
122.556,-9.97711,147
121.549,-1.00682,148
129.747,8.1984,149
145.238,15.4907,150
164.407,19.1684,151
182.78,18.3736,152
196.072,13.2915,153
201.18,5.10815,154
196.913,-4.26714,155
184.266,-12.6468,156
166.19,-18.0755,157
146.904,-19.2866,158
130.906,-15.9975,159
121.931,-8.97563,160
122.071,0.140525,161
131.295,9.22389,162
147.45,16.155,163
166.767,19.3166,164
184.738,17.971,165
197.17,12.4322,166
201.163,3.99252,167
195.784,-5.37875,168
182.289,-13.495,169
163.826,-18.4624,170
144.705,-19.1219,171
129.385,-15.3196,172
121.442,-7.94279,173
122.73,1.28738,174
132.947,10.2172,175
149.71,16.7629,176
169.107,19.3973,177
186.613,17.5057,178
198.142,11.5294,179
201.005,2.86294,180
194.533,-6.47157,181
180.237,-14.2961,182
161.453,-18.7848,183
142.562,-18.8904,184
127.974,-14.5883,185
121.092,-6.88219,186
123.522,2.42973,187
134.696,11.1747,188
152.008,17.3123,189
171.419,19.4103,190
188.398,16.9792,191
198.984,10.5864,192
200.708,1.72335,193
193.166,-7.54178,194
178.119,-15.0472,195
159.077,-19.0415,196
140.484,-18.5929,197
126.678,-13.8059,198
120.881,-5.79754,199
124.444,3.56359,200
136.538,12.0932,201
154.339,17.8011,202
173.694,19.3554,203
190.088,16.3934,204
199.694,9.60631,205
200.272,0.577743,206
191.686,-8.58563,207
175.94,-15.7457,208
156.709,-19.2318,209
138.478,-18.2304,210
125.503,-12.9753,211
120.81,-4.69263,212
125.495,4.685,213
138.465,12.9695,214
156.692,18.2277,215
175.925,19.2328,216
191.675,15.7503,217
200.268,8.59268,218
199.698,-0.569885,219
190.099,-9.59948,220
173.71,-16.3892,221
154.355,-19.3548,222
136.551,-17.8042,223
124.451,-12.0994,224
120.88,-3.57132,225
126.67,5.79003,226
140.47,13.8004,227
159.061,18.5906,228
178.104,19.0431,229
193.156,15.0521,230
200.705,7.54902,231
198.99,-1.71552,232
188.41,-10.5798,233
171.434,-16.9754,234
152.024,-19.4101,235
134.709,-17.3158,236
123.527,-11.1811,237
121.09,-2.43753,238
127.965,6.87484,239
142.548,14.5831,240
161.436,18.8886,241
180.223,18.7868,242
194.525,14.3014,243
201.003,6.47899,244
198.148,-2.85516,245
186.625,-11.5231,246
169.123,-17.5023,247
149.725,-19.3977,248
132.958,-16.7669,249
122.735,-10.2238,250
121.439,-1.29522,251
129.375,7.93561,252
144.69,15.3148,253
163.81,19.1205,254
182.275,18.4648,255
195.776,13.5006,256
201.162,5.38631,257
197.177,-3.98483,258
184.751,-12.4262,259
166.783,-17.9681,260
147.466,-19.3174,261
131.306,-16.1594,262
122.075,-9.23081,263
121.927,-0.148386,264
130.896,8.96866,265
146.889,15.993,266
166.174,19.2857,267
184.253,18.0783,268
196.905,12.6527,269
201.18,4.27481,270
196.08,-5.10057,271
182.794,-13.2858,272
164.423,-18.371,273
145.253,-19.1697,274
129.758,-15.4954,275
121.552,-8.20552,276
122.551,0.998966,277
132.522,9.97036,278
149.137,16.6153,279
168.52,19.3834,280
186.149,17.6287,281
197.91,11.7606,282
201.058,3.14837,283
194.859,-6.19848,284
180.76,-14.099,285
162.051,-18.7098,286
143.096,-18.9549,287
128.318,-14.7773,288
121.167,-7.15156,289
123.31,2.14283,290
134.247,10.9372,291
151.427,17.1796,292
170.84,19.4134,293
187.957,17.1174,294
198.785,10.8274,295
200.796,2.01092,296
193.521,-7.27473,297
178.658,-14.863,298
159.675,-18.9831,299
141.001,-18.6739,300
126.993,-14.0075,301
120.921,-6.07261,302
124.2,3.2792,303
136.066,11.8659,304
153.75,17.6838,305
173.125,19.3756,306
189.672,16.5463,307
199.528,9.8563,308
200.394,0.866454,309
192.069,-8.32556,310
176.494,-15.575,311
157.304,-19.1902,312
138.976,-18.3277,313
125.787,-13.1888,314
120.815,-4.97244,315
125.219,4.40411,316
137.972,12.753,317
156.098,18.1263,318
175.368,19.27,319
191.286,15.9174,320
200.136,8.85079,321
199.855,-0.281043,322
190.508,-9.3473,323
174.276,-16.2325,324
154.945,-19.3302,325
137.028,-17.9174,326
124.704,-12.3239,327
120.849,-3.85489,328
126.363,5.51364,329
139.958,13.5957,330
158.464,18.5054,331
177.561,19.0971,332
192.794,15.2329,333
200.608,7.81435,334
199.181,-1.42756,335
188.844,-10.3364,336
172.011,-16.8334,337
152.608,-19.4026,338
135.164,-17.4445,339
123.748,-11.4161,340
121.024,-2.72387,341
127.628,6.60389,342
142.018,14.3908,343
160.838,18.8198,344
179.696,18.8575,345
194.191,14.4952,346
200.942,6.75061,347
198.372,-2.56909,348
187.083,-11.2893,349
169.708,-17.3754,350
150.301,-19.4072,351
133.39,-16.9107,352
122.922,-10.4683,353
121.338,-1.58334,354
129.009,7.67107,355
144.145,15.1356,356
163.213,19.0684,357
181.765,18.552,358
195.472,13.7067,359
201.135,5.66327,360
197.434,-3.70163,361
185.231,-12.2028,362
167.374,-17.8567,363
148.03,-19.344,364
131.712,-16.3177,365
122.229,-9.48394,366
121.791,-0.437264,367
130.503,8.71144,368
146.33,15.8275,369
165.581,19.2504,370
183.762,18.1816,371
196.633,12.8704,372
201.189,4.55614,373
196.368,-4.82125,374
183.294,-13.0737,375
165.018,-18.2756,376
145.805,-19.2132,377
130.137,-15.6677,378
121.671,-8.46644,379
122.381,0.710335,380
132.103,9.72137,381
148.567,16.4641,382
167.932,19.3652,383
185.68,17.7477,384
197.669,11.9891,385
201.102,3.4331,386
195.178,-5.92401,387
181.279,-13.8989,388
162.648,-18.6306,389
143.633,-19.0153,390
128.67,-14.963,391
121.251,-7.41936,392
123.106,1.85545,393
133.804,10.6973,394
150.847,17.0432,395
170.259,19.4122,396
187.511,17.2518,397
198.577,11.066,398
200.875,2.29805,399
193.869,-7.00607,400
179.193,-14.6754,401
160.273,-18.9206,402
141.522,-18.7509,403
127.316,-14.206,404
120.97,-6.34635,405
123.964,2.99409,406
135.6,11.6359,407
153.162,17.5627,408
172.554,19.3915,409
189.249,16.6956,410
199.353,10.1041,411
200.508,1.15497,412
192.445,-8.06365,413
177.044,-15.4008,414
157.9,-19.1444,415
139.479,-18.4209,416
126.079,-13.3993,417
120.828,-5.25116,418
124.95,4.12226,419
137.484,12.5338,420
155.505,18.0208,421
174.808,19.303,422
190.889,16.0811,423
199.996,9.10694,424
200.004,0.00786072,425
190.911,-9.09306,426
174.839,-16.0723,427
155.537,-19.3013,428
137.511,-18.0266,429
124.965,-12.5458,430
120.827,-4.13762,431
126.063,5.23602,432
139.451,13.3879,433
157.867,18.416,434
177.014,19.147,435
192.424,15.4103,436
200.502,8.07795,437
199.363,-1.13928,438
189.272,-10.0907,439
172.585,-16.6876,440
153.194,-19.3907,441
135.625,-17.5694,442
123.976,-11.6485,443
120.967,-3.00962,444
127.298,6.33149,445
141.493,14.1952,446
160.24,18.7468,447
179.164,18.9241,448
193.85,14.6857,449
200.871,7.02073,450
198.588,-2.28244,451
187.535,-11.053,452
170.291,-17.2446,453
150.878,-19.4124,454
133.828,-17.0507,455
123.117,-10.7104,456
121.246,-1.8711,457
128.651,7.40483,458
143.604,14.953,459
162.616,19.0121,460
181.251,18.635,461
195.161,13.9098,462
201.1,5.93898,463
197.682,-3.41762,464
185.705,-11.9768,465
167.964,-17.7414,466
148.598,-19.3663,467
132.125,-16.4724,468
122.39,-9.73497,469
121.664,-0.726046,470
130.117,8.45229,471
145.775,15.6584,472
164.986,19.2109,473
183.267,18.2809,474
196.352,13.0853,475
201.189,4.83647,476
196.648,-4.54086,477
183.789,-12.8587,478
165.613,-18.1761,479
146.36,-19.2525,480
130.524,-15.8366,481
121.798,-8.72549,482
122.22,0.421547,483
131.69,9.47022,484
147.999,16.3092,485
167.342,19.3427,486
185.205,17.8629,487
197.42,12.215,488
201.137,3.71707,489
195.489,-5.64823,490
181.793,-13.6956,491
163.246,-18.5473,492
144.174,-19.0714,493
129.029,-15.1454,494
121.344,-7.68551,495
122.911,1.56767,496
133.366,10.4551,497
150.269,16.9029,498
169.676,19.4068,499
187.058,17.3824,500
