position,velocity,time
200,0,0
190.9,-9.1,1
175.127,-15.7733,2
156.583,-18.5438,3
139.688,-16.895,4
128.329,-11.359,5
124.972,-3.35711,6
130.133,5.16138,7
142.325,12.1916,8
158.468,16.1428,9
174.663,16.1956,10
187.131,12.4677,11
193.086,5.9549,12
191.355,-1.73025,13
182.6,-8.75551,14
169.096,-13.5036,15
154.154,-14.9427,16
141.307,-12.8471,17
133.483,-7.8237,18
132.341,-1.14224,19
137.924,5.58302,20
148.705,10.7814,21
161.996,13.2909,22
174.611,12.6155,23
183.63,9.01896,24
187.068,3.43792,25
184.309,-2.75926,26
176.203,-8.10604,27
164.82,-11.3832,28
152.925,-11.895,29
143.31,-9.61428,30
138.144,-5.16624,31
138.483,0.338991,32
144.065,5.58162,33
153.412,9.34711,34
164.218,10.8061,35
173.913,9.69503,36
180.272,6.35882,37
181.922,1.65009,38
178.635,-3.28669,39
171.343,-7.29203,40
161.881,-9.46238,41
152.528,-9.35249,42
145.464,-7.06402,43
142.261,-3.20356,44
143.536,1.27571,45
148.844,5.30801,46
156.812,7.96737,47
165.491,8.67902,48
172.833,7.34185,49
177.169,4.33616,50
177.588,0.418879,51
174.122,-3.46556,52
167.71,-6.41189,53
159.946,-7.7639,54
152.687,-7.25926,55
147.61,-5.07762,56
145.826,-1.78393,57
147.642,1.81623,58
152.514,4.8726,59
159.205,6.69014,60
166.091,6.88607,61
171.559,5.46872,62
174.382,2.82258,63
173.988,-0.393962,64
170.577,-3.41136,65
165.044,-5.53219,66
158.753,-6.29148,67
153.195,-5.55746,68
149.644,-3.55115,69
148.861,-0.783127,70
150.937,2.07536,71
155.291,4.35432,72
160.832,5.5413,73
166.228,5.39575,74
170.224,3.99604,75
171.935,1.71058,76
171.037,-0.897837,77
167.827,-3.20981,78
163.131,-4.69576,79
158.095,-5.0365,80
153.904,-4.1907,81
151.509,-2.39526,82
151.408,-0.10078,83
153.549,2.14074,84
157.357,3.80803,85
161.888,4.53121,86
166.061,4.173,87
168.914,2.85303,88
169.825,0.911351,89
168.647,-1.17825,90
165.724,-2.92328,91
161.796,-3.92803,92
157.813,-3.98276,93
154.707,-3.10635,94
153.172,-1.53434,95
153.516,0.343283,96
155.594,2.07822,97
158.864,3.27041,98
162.524,3.65976,99
165.706,3.18219,100
167.684,1.97803,101
168.037,0.352465,102
166.735,-1.30115,103
164.139,-2.59605,104
160.897,-3.24204,105
157.787,-3.11002,106
155.531,-2.25673,107
154.625,-0.905309,108
155.238,0.612299,109
157.174,1.93645,110
159.939,2.76463,111
162.859,2.92012,112
165.248,2.38906,113
166.566,1.31826,114
166.542,-0.0244385,115
165.225,-1.31668,116
162.966,-2.25862,117
160.324,-2.64215,118
157.928,-2.3964,119
156.328,-1.59968,120
155.872,-0.456252,121
156.627,0.755515,122
158.378,1.7506,123
160.682,2.30405,124
162.983,2.30143,125
164.745,1.76191,126
165.575,0.829249,127
165.309,-0.26581,128
164.046,-1.26234,129
162.115,-1.93111,130
159.988,-2.127,131
158.168,-1.82005,132
157.07,-1.09866,133
156.925,-0.144961,134
157.735,0.810774,135
159.281,1.54547,136
161.176,1.89507,137
162.967,1.79083,138
164.239,1.2722,139
164.713,0.47402,140
164.305,-0.408163,141
163.139,-1.1657,142
161.513,-1.62599,143
159.822,-1.69154,144
158.461,-1.36021,145
157.739,-0.722545,146
157.801,0.0624604,147
158.608,0.806725,148
159.946,1.33794,149
161.485,1.53927,150
162.86,1.37472,151
163.755,0.89489,152
163.977,0.222245,153
163.497,-0.479836,154
162.451,-1.04655,155
161.101,-1.35018,156
159.772,-1.32865,157
158.774,-0.997815,158
158.329,-0.445186,159
158.522,0.192899,160
159.287,0.764705,161
160.426,1.13902,162
161.661,1.23509,163
162.7,1.03976,164
163.309,0.608339,165
163.358,0.0493509,166
162.856,-0.50252,167
161.937,-0.91874,168
160.83,-1.10671,169
159.8,-1.03019,170
159.084,-0.715837,171
158.839,-0.244935,172
159.107,0.267422,173
159.807,0.700302,174
160.762,0.955348,175
161.741,0.978979,176
162.515,0.773393,177
162.909,0.394202,178
162.844,-0.0643299,179
162.352,-0.492567,180
161.56,-0.791597,181
160.664,-0.895954,182
159.877,-0.787776,183
159.377,-0.49939,184
159.273,-0.104092,185
159.575,0.302317,186
160.2,0.624639,187
160.991,0.790467,188
161.757,0.766326,189
162.321,0.56418,190
162.558,0.23713,191
162.424,-0.134349,192
161.962,-0.462097,193
161.291,-0.671097,194
160.574,-0.716541,195
159.981,-0.593278,196
159.645,-0.335692,197
159.637,-0.00836373,198
159.947,0.310005,199
160.492,0.545427,200
161.138,0.645735,201
161.73,0.592028,202
162.132,0.401972,203
162.256,0.124457,204
162.084,-0.172847,205
161.664,-0.41991,206
161.103,-0.560759,207
160.537,-0.566069,208
160.098,-0.439119,209
159.884,-0.21394,210
159.937,0.0536529,211
160.237,0.299807,212
160.705,0.4678,213
161.226,0.521041,214
161.677,0.45093,215
161.955,0.27794,216
162.001,0.0458632,217
161.812,-0.189179,218
161.439,-0.372245,219
160.977,-0.462351,220
160.535,-0.441572,221
160.217,-0.318452,222
160.092,-0.125131,223
160.183,0.0909439,224
160.461,0.278596,225
160.856,0.394987,226
161.272,0.415335,227
161.61,0.338093,228
161.794,0.184537,229
161.787,-0.00695827,230
161.597,-0.190447,231
161.274,-0.323382,232
160.897,-0.37643,233
160.557,-0.339876,234
160.332,-0.225236,235
160.27,-0.0618624,236
160.381,0.1105,237
160.632,0.251334,238
160.961,0.328829,239
161.288,0.327013,240
161.537,0.248956,241
161.652,0.11541,242
161.612,-0.0406128,243
161.43,-0.181959,244
161.153,-0.276136,245
160.851,-0.302742,246
160.593,-0.257822,247
160.439,-0.15424,248
160.421,-0.0181222,249
160.538,0.117687,250
160.76,0.221509,251
161.03,0.270185,252
161.284,0.254195,253
161.464,0.179426,254
161.529,0.0652833,255
161.469,-0.0602877,256
161.301,-0.167606,257
161.069,-0.232239,258
160.828,-0.240528,259
160.636,-0.192418,260
160.535,-0.101014,261
160.546,0.0109132,262
160.662,0.116563,263
160.854,0.191493,264
161.073,0.219244,265
161.268,0.194913,266
161.394,0.125913,267
161.424,0.0298334,268
161.354,-0.0700045,269
161.203,-0.15018,270
161.011,-0.192641,271
160.822,-0.188737,272
160.681,-0.140925,273
160.619,-0.0618236,274
160.648,0.0290664,275
160.759,0.110145,276
160.921,0.16282,277
161.097,0.175748,278
161.244,0.147237,279
161.33,0.0853214,280
161.335,0.00556132,281
161.262,-0.0728378,282
161.131,-0.131628,283
160.973,-0.157746,284
160.827,-0.146185,285
160.726,-0.1009,286
160.692,-0.0335813,287
160.732,0.0393292,288
160.832,0.100633,289
160.969,0.136411,290
161.108,0.139168,291
161.217,0.109361,292
161.272,0.0550294,293
161.262,-0.0103313,294
161.191,-0.0711026,295
161.078,-0.113258,296
160.95,-0.127581,297
160.838,-0.111658,298
160.768,-0.0702117,299
160.754,-0.0137646,300
160.798,0.0440126,301
160.888,0.0895943,302
161.001,0.112751,303
161.11,0.108828,304
161.189,0.0796418,305
161.222,0.0328457,306
161.202,-0.0200545,307
161.135,-0.0665121,308
161.04,-0.0959015,309
160.938,-0.101934,310
160.854,-0.0839813,311
160.807,-0.0470311,312
160.806,-0.000338682,313
160.851,0.0448764,314
160.929,0.0781131,315
161.021,0.0920155,316
161.105,0.0839843,317
161.162,0.0566244,318
161.179,0.0169642,319
161.154,-0.0253324,320
161.093,-0.0603082,321
161.013,-0.0800462,322
160.933,-0.0804488,323
160.871,-0.0620666,324
160.841,-0.029815,325
160.849,0.00831844,326
160.892,0.0432398,327
160.959,0.0669078,328
161.033,0.074175,329
161.097,0.0638926,330
161.136,0.0390445,331
161.142,0.00591441,332
161.115,-0.0274914,333
161.061,-0.053369,334
160.996,-0.0659313,335
160.933,-0.0626909,336
160.888,-0.0449306,337
160.871,-0.0172785,338
160.884,0.0134835,339
160.924,0.040074,340
160.981,0.0564275,341
161.04,0.0590694,342
161.088,0.0478405,343
161.113,0.025823,344
161.112,-0.00148586,345
161.084,-0.0275378,346
161.038,-0.0462958,347
160.984,-0.0536262,348
160.936,-0.0481995,349
160.904,-0.0317071,350
160.896,-0.00836616,351
160.912,0.0161489,352
160.948,0.0360787,353
160.995,0.0469258,354
161.042,0.046462,355
161.077,0.0351725,356
161.093,0.0160524,357
161.087,-0.00617588,358
161.061,-0.0262222,359
161.021,-0.0394818,360
160.978,-0.043087,361
160.941,-0.0365184,362
160.92,-0.0216478,363
160.918,-0.00222169,364
160.935,0.0170752,365
160.966,0.0317447,366
161.005,0.0385181,367
161.041,0.0360782,368
161.066,0.0253013,369
161.075,0.00898005,370
161.066,-0.00889251,371
161.042,-0.0240944,372
161.009,-0.0331675,373
160.975,-0.0341991,374
160.948,-0.0272166,375
160.934,-0.0141162,376
160.935,0.00184126,377
160.952,0.0168372,378
160.98,0.0274046,379
161.011,0.0312253,380
161.039,0.0276328,381
161.056,0.0177124,382
161.06,0.00398973,383
161.05,-0.0102064,384
161.029,-0.0215478,385
161.001,-0.0274834,386
160.974,-0.0268083,387
160.954,-0.0199005,388
160.946,-0.00857942,389
160.95,0.00436611,390
160.966,0.0158614,391
160.989,0.0232725,392
161.014,0.0250063,393
161.035,0.0208475,394
161.047,0.0119629,395
161.048,0.00058317,396
161.037,-0.0105533,397
161.018,-0.0188562,398
160.996,-0.0224825,399
160.975,-0.020742,400
160.961,-0.0142197,401
160.956,-0.00459694,402
160.962,0.00577772,403
160.976,0.0144584,404
160.996,0.0194761,405
161.016,0.0197822,406
161.031,0.0154622,407
161.039,0.0076783,408
161.037,-0.00163769,409
161.027,-0.010261,410
161.011,-0.0162027,411
160.993,-0.0181656,412
160.977,-0.0158245,413
160.967,-0.00986907,414
160.965,-0.00180934,415
160.971,0.00640392,416
160.984,0.0128491,417
161,0.0160814,418
161.016,0.0154536,419
161.027,0.0112409,420
161.032,0.0045457,421
161.029,-0.00298696,422
161.019,-0.00957158,423
161.005,-0.0137033,424
160.991,-0.0144999,425
160.979,-0.0118866,426
160.972,-0.00658692,427
160.972,7.30904e-05,428
160.979,0.00649405,429
160.99,0.0111857,430
161.003,0.013111,431
161.015,0.0119128,432
161.023,0.00797497,433
161.025,0.00230755,434
161.022,-0.00370939,435
161.013,-0.00866023,436
161.002,-0.0114253,437
160.99,-0.0114323,438
160.981,-0.00877158,439
160.977,-0.00415281,440
160.979,0.001281,441
160.985,0.00623477,442
160.994,0.00956864,443
161.005,0.0105587,444
161.014,0.00905206,445
161.019,0.00548349,446
161.02,0.000754396,447
161.016,-0.00399309,448
161.009,-0.00765061,449
160.999,-0.00940106,450
160.99,-0.00889959,451
160.984,-0.00633826,452
160.982,-0.00238338,453
160.984,0.00199579,454
160.989,0.0057633,455
160.997,0.00806046,456
161.006,0.00840028,457
161.013,0.0067687,458
161.016,0.00361214,459
161.016,-0.000282027,460
161.012,-0.00398059,461
161.005,-0.00662706,462
160.998,-0.007639,463
160.991,-0.00683478,464
160.986,-0.00446258,465
160.985,-0.00112819,466
160.988,0.0023583,467
160.993,0.0051783,468
160.999,0.00669603,469
161.006,0.00660077,470
161.011,0.0049685,471
161.013,0.00223132,472
161.012,-0.000935261,473
161.009,-0.00377806,474
161.003,-0.00564455,475
160.997,-0.00613177,476
160.992,-0.00517199,477
160.989,-0.00303741,478
160.988,-0.000265259,479
160.991,0.00247639,480
160.995,0.00454882,481
161.001,0.00549078,482
161.006,0.00512016,483
161.009,0.00356719,484
161.011,0.00123364,485
161.009,-0.00130997,486
161.006,-0.00346314,487
161.001,-0.00473647,488
160.996,-0.00486217,489
160.993,-0.00384919,490
160.991,-0.00197182,491
160.991,0.000303059,492
160.993,0.00243139,493
160.997,0.00392146,494
161.002,0.00444685,495
161.006,0.00391713,496
161.008,0.00249107,497
161.009,0.000531293,498
161.007,-0.00148712,499
161.004,-0.00309126,500
